房间,伦尼·阿伯拉罕森 Lenny Abrahamson,2015,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
源代码,邓肯·琼斯 Duncan Jones,2011,8.5,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
青蛇,徐克 Hark Tsui,1993,8.6,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
无间道2,刘伟强 / 麦兆辉,2003,8.7,嬉笑怒骂，调风动月。
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,2015,8.6,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,1940,8.8,中国式内在的美国电影。
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,2018,8.7,昆汀同学越来越变态了，比北野武还杜琪峰。
步履不停,是枝裕和 Hirokazu Koreeda,2008,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
血钻,爱德华·兹威克 Edward Zwick,2006,8.7,每个美丽事物背后都是滴血的现实。
茶馆,谢添 Tian Xie,1982,9.5,小成本大魅力。
战争之王,安德鲁·尼科尔 Andrew Niccol,2005,8.7,做一颗让别人需要你的棋子。
燃情岁月,爱德华·兹威克 Edward Zwick,1994,8.8,传奇，不是每个人都可以拥有。
千钧一发,安德鲁·尼科尔 Andrew Niccol,1997,8.8,一部能引人思考的科幻励志片。
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.6,一个精彩的世界观正在缓缓建立。
谍影重重2,保罗·格林格拉斯 Paul Greengrass,2004,8.7,谁说王家卫镜头很晃？
海洋,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,2009,9.1,大海啊，不全是水。
崖上的波妞,宫崎骏 Hayao Miyazaki,2008,8.6,王家卫是一种风格，张国荣是一个代表。
穿越时空的少女,细田守 Mamoru Hosoda,2006,8.6,爱上未来的你。 
谍影重重,道格·里曼 Doug Liman,2002,8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
小丑,托德·菲利普斯 Todd Phillips,2019,8.7,天使保护事件始末。
香水,汤姆·提克威 Tom Tykwer,2006,8.5,一个单凭体香达到高潮的男人。
完美陌生人,保罗·格诺维瑟 Paolo Genovese,2016,8.5,来啊，互相伤害啊！
再次出发之纽约遇见你,约翰·卡尼 John Carney,2013,8.6,爱我就给我看你的播放列表。
我爱你,秋昌民 Chang-min Choo,2011,9.1,你要相信，这世上真的有爱存在，不管在什么年纪 
爱乐之城,达米恩·查泽雷 Damien Chazelle,2016,8.4,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
火星救援,雷德利·斯科特 Ridley Scott,2015,8.5,过去的如果就让它过去了，未来只会越来越糟！
聚焦,托马斯·麦卡锡 Thomas McCarthy,2015,8.8,新闻人的理性求真。
小萝莉的猴神大叔,卡比尔·汗 Kabir Khan,2015,8.4,宝莱坞的萝莉与大叔。
浪潮,丹尼斯·甘塞尔 Dennis Gansel,2008,8.7,世界离独裁只有五天。
猜火车,丹尼·博伊尔 Danny Boyle,1996,8.6,不可猜的青春迷笛。 
千年女优,今敏 Satoshi Kon,2001,8.8,爱情是一场没有尽头的虚幻追逐。
